Genus,LM,TD,TI,TP,LL,WD,WI,LI
,50.83,,,,,32.39,,38.59
,,23.85,28.32,22.91,55,,,43.65
,67.88,31.05,37.07,30.37,,47.99,50.87,56.51
,,,24.22,18.09,47.07,,,37.28
,,23.67,33.33,25.91,67.31,44.91,48.11,53.53
,47.4,22.58,25.23,21.27,53.36,,35.64,39.67
,49.29,,,,,,,40.79
,44.34,20.2,23.17,21.38,49.3,31.53,31.2,38.62
,73.21,28.73,38.2,,,48.92,50.77,59.22
,42.63,21.63,24.23,20.99,48.26,31.5,34,35.98
,68.04,31.07,37.17,33.4,74.57,50.54,55.42,55.91
,51.86,25.19,27.86,24.54,56.73,36.63,40.08,43.24
,70.62,,,32.41,75.33,50.36,53.32,58.29
,54.5,,29.41,,,37.8,37.14,43.79
,51.85,25.12,28.8,25.13,,37.03,37.88,42.85
,55.13,24.02,30.04,25.14,59.4,37.97,38.59,45.67
,57.98,,29.77,20.19,,,40.69,45.93
,94.54,,,,,,,
,52.65,,,,,,,44.7
,56.02,22.07,30.18,,,37.38,40.32,47.36
,66.53,28.74,39.42,,75.15,51.08,54.52,57.42
,44.03,,23.47,22.88,51.12,,34.48,36.89
,57.42,,24.15,,,,39.54,46.65
